Date,Open,High,Low,Close
25.11.2014,10621.90,10792.30,10609.40,10699.60
24.11.2014,10558.70,10715.10,10528.80,10642.50
21.11.2014,10225.60,10542.50,10209.00,10520.80
20.11.2014,10351.50,10351.50,10132.20,10209.20
19.11.2014,10395.80,10451.80,10328.90,10376.80
18.11.2014,10320.10,10466.30,10296.30,10432.90
17.11.2014,10061.10,10336.30,10040.90,10309.00
14.11.2014,10192.30,10195.10,10056.80,10148.00
13.11.2014,10207.60,10252.30,10044.20,10140.40
12.11.2014,10307.00,10342.60,10136.40,10157.30
11.11.2014,10319.80,10418.40,10296.10,10338.80
10.11.2014,10103.90,10282.40,10052.20,10273.00
07.11.2014,10291.00,10311.50,10017.50,10126.30
06.11.2014,10242.70,10463.30,10175.30,10261.80
05.11.2014,10246.60,10310.60,10131.20,10276.90
04.11.2014,10361.00,10455.20,10140.50,10154.40
03.11.2014,10454.30,10508.80,10333.30,10374.40
31.10.2014,10448.40,10513.30,10324.80,10477.80
30.10.2014,10304.60,10340.30,9994.80,10263.70
29.10.2014,10406.00,10441.10,10204.80,10247.80
28.10.2014,10260.20,10423.40,10248.60,10394.80
27.10.2014,10469.40,10474.80,10093.40,10195.20
24.10.2014,10299.40,10369.00,10260.70,10339.30
23.10.2014,10202.70,10359.00,10127.00,10333.70
22.10.2014,10169.60,10249.90,10067.00,10249.90
21.10.2014,9893.50,10167.80,9851.50,10152.10
20.10.2014,9898.90,9958.90,9802.80,9915.20
17.10.2014,9723.00,9977.40,9651.10,9956.80
16.10.2014,9897.20,9942.00,9370.50,9669.70
15.10.2014,10204.70,10225.60,9774.90,9838.50
14.10.2014,10138.10,10236.80,10016.50,10204.90
13.10.2014,10072.40,10274.80,10042.20,10187.30
10.10.2014,10186.70,10290.90,10102.40,10150.50
09.10.2014,10465.30,10470.80,10201.00,10273.70
08.10.2014,10384.60,10460.90,10320.00,10339.00
07.10.2014,10610.00,10610.00,10422.10,10430.70
06.10.2014,10657.60,10728.80,10632.50,10645.70
03.10.2014,10561.00,10582.00,10436.40,10567.60
02.10.2014,10742.50,10769.30,10418.10,10418.10
01.10.2014,10793.90,10889.30,10734.60,10753.20
30.09.2014,10724.50,10860.10,10714.00,10825.50
29.09.2014,10828.20,10852.70,10625.50,10686.00
26.09.2014,10770.60,10891.00,10701.20,10851.40
25.09.2014,10847.80,10948.60,10733.10,10783.10
24.09.2014,10798.90,10860.50,10679.20,10856.90
23.09.2014,10918.90,10918.90,10781.20,10801.80
22.09.2014,10961.90,11026.50,10930.50,10947.90
19.09.2014,11108.90,11191.80,11001.90,11001.90
18.09.2014,10931.80,11016.50,10899.20,10991.00
17.09.2014,10855.00,10939.20,10818.10,10907.40
16.09.2014,10829.90,10836.70,10737.30,10798.70
15.09.2014,10849.80,10894.80,10815.20,10841.30
12.09.2014,10895.70,10930.20,10838.90,10888.90
11.09.2014,10951.90,10963.50,10823.90,10886.30
10.09.2014,10909.90,10937.80,10821.30,10937.80
09.09.2014,11060.20,11080.60,10939.70,10951.60
08.09.2014,11158.40,11163.00,11043.00,11102.60
05.09.2014,11085.50,11182.00,11062.20,11148.90
04.09.2014,10853.80,11146.60,10835.40,11100.10
03.09.2014,10799.20,10927.20,10783.40,10886.80
02.09.2014,10768.50,10822.60,10736.40,10755.00
01.09.2014,10749.20,10784.10,10693.90,10746.50
29.08.2014,10742.70,10785.30,10614.50,10728.80
28.08.2014,10808.50,10844.40,10688.00,10722.20
27.08.2014,10821.90,10883.80,10787.40,10837.40
26.08.2014,10672.40,10835.50,10669.40,10826.90
25.08.2014,10607.10,10695.70,10563.60,10690.10
22.08.2014,10582.10,10588.70,10436.40,10500.20
21.08.2014,10429.80,10569.30,10386.70,10556.40
20.08.2014,10390.60,10428.10,10338.30,10420.90
19.08.2014,10407.50,10416.60,10367.20,10386.50
18.08.2014,10350.40,10372.20,10284.10,10353.40
15.08.2014,10320.80,10417.70,10203.70,10222.20
14.08.2014,10274.10,10339.20,10210.70,10294.80
13.08.2014,10304.10,10330.20,10250.50,10304.00
12.08.2014,10195.90,10324.10,10161.90,10241.50
11.08.2014,10226.60,10245.70,10148.60,10193.50
08.08.2014,9981.20,10183.00,9946.90,10104.80
07.08.2014,10235.80,10258.90,10049.90,10078.60
06.08.2014,10282.00,10330.30,10121.50,10246.20
05.08.2014,10524.70,10534.70,10314.40,10353.80
04.08.2014,10585.80,10589.40,10463.90,10496.20
01.08.2014,10682.80,10701.40,10478.30,10514.00
31.07.2014,10934.90,10943.90,10663.30,10707.20
30.07.2014,10927.80,11016.10,10888.60,10937.40
29.07.2014,10901.60,10964.30,10854.20,10901.20
28.07.2014,10940.50,10963.90,10801.60,10879.80
25.07.2014,10839.60,10941.90,10832.10,10888.10
24.07.2014,10668.30,10860.70,10618.10,10860.70
23.07.2014,10624.20,10700.00,10604.80,10659.10
22.07.2014,10531.00,10667.90,10504.70,10648.90
21.07.2014,10521.70,10530.60,10447.60,10482.00
18.07.2014,10477.50,10527.00,10425.30,10527.00
17.07.2014,10617.60,10643.00,10507.80,10543.30
16.07.2014,10522.20,10680.20,10496.60,10668.40
15.07.2014,10545.10,10581.40,10427.70,10475.90
14.07.2014,10602.50,10640.00,10526.60,10606.30
11.07.2014,10563.70,10681.50,10489.80,10538.80
10.07.2014,10743.60,10743.60,10423.60,10533.60
09.07.2014,10736.40,10771.00,10680.90,10746.90
08.07.2014,10898.70,10920.90,10663.00,10689.10
07.07.2014,10986.00,11005.20,10874.50,10888.50
04.07.2014,11082.70,11084.00,11004.80,11009.40
03.07.2014,11001.70,11100.20,10958.10,11090.00
02.07.2014,11009.00,11037.50,10955.20,11016.20
01.07.2014,10954.50,11007.80,10911.90,11007.80
30.06.2014,10975.60,10996.30,10850.60,10923.50
27.06.2014,11010.20,11059.80,10924.20,10959.90
26.06.2014,11006.00,11046.40,10910.80,10989.00
25.06.2014,11058.10,11069.50,10890.20,10966.70
24.06.2014,11147.60,11168.80,11082.50,11105.90
