Date,Open,High,Low,Close
14.04.2015,4409.29,4418.87,4375.11,4397.65
13.04.2015,4428.13,4448.20,4407.07,4409.21
10.04.2015,4402.02,4422.63,4394.38,4422.02
09.04.2015,4375.78,4405.65,4361.23,4403.95
08.04.2015,4345.22,4382.82,4345.09,4375.96
07.04.2015,4349.31,4379.42,4343.74,4344.08
06.04.2015,4286.16,4361.56,4283.91,4350.98
02.04.2015,4316.24,4327.79,4302.49,4316.01
01.04.2015,4328.17,4334.56,4284.06,4311.26
31.03.2015,4364.14,4377.36,4333.69,4333.69
30.03.2015,4359.78,4384.18,4359.78,4382.82
27.03.2015,4314.60,4342.93,4309.52,4332.86
26.03.2015,4288.16,4340.17,4280.95,4315.26
25.03.2015,4437.38,4442.54,4329.29,4329.29
24.03.2015,4444.39,4467.79,4430.97,4430.99
23.03.2015,4454.15,4466.34,4445.52,4445.55
20.03.2015,4468.29,4478.69,4456.41,4458.54
19.03.2015,4424.79,4440.01,4419.84,4426.83
18.03.2015,4366.80,4440.49,4344.49,4422.50
17.03.2015,4355.83,4384.98,4349.69,4375.63
16.03.2015,4338.29,4371.46,4327.27,4370.47
13.03.2015,4328.09,4347.87,4289.30,4314.90
12.03.2015,4302.73,4339.20,4300.87,4336.23
11.03.2015,4336.05,4342.87,4304.28,4305.38
10.03.2015,4376.03,4381.62,4329.08,4329.08
09.03.2015,4406.87,4424.22,4391.62,4412.99
06.03.2015,4442.19,4453.93,4389.82,4399.23
05.03.2015,4454.89,4464.48,4433.94,4452.06
04.03.2015,4442.41,4452.37,4421.00,4445.36
03.03.2015,4466.53,4473.64,4433.51,4458.78
02.03.2015,4452.80,4483.97,4450.86,4483.05
27.02.2015,4459.86,4464.32,4435.66,4440.67
26.02.2015,4443.55,4463.81,4430.79,4462.27
25.02.2015,4441.08,4461.12,4429.90,4440.59
24.02.2015,4442.13,4455.52,4428.82,4451.03
23.02.2015,4441.26,4449.49,4430.87,4449.49
20.02.2015,4406.75,4444.62,4397.63,4443.05
19.02.2015,4388.92,4415.79,4388.44,4411.86
18.02.2015,4378.73,4393.19,4374.23,4390.91
17.02.2015,4379.32,4387.32,4370.63,4385.34
13.02.2015,4359.78,4384.03,4351.02,4384.03
12.02.2015,4321.41,4347.97,4317.98,4347.97
11.02.2015,4284.76,4305.35,4277.65,4297.28
10.02.2015,4240.04,4286.43,4232.99,4281.16
09.02.2015,4209.81,4235.24,4206.76,4216.09
06.02.2015,4259.98,4271.28,4214.89,4228.68
05.02.2015,4229.62,4258.00,4220.17,4256.18
04.02.2015,4202.43,4248.84,4198.74,4221.20
03.02.2015,4201.94,4229.15,4174.23,4229.15
02.02.2015,4162.20,4189.09,4094.73,4188.59
30.01.2015,4178.62,4210.85,4144.03,4148.43
29.01.2015,4134.52,4189.54,4103.72,4181.35
28.01.2015,4233.74,4235.15,4140.38,4140.38
27.01.2015,4200.88,4209.41,4151.15,4165.50
26.01.2015,4271.11,4282.48,4254.47,4275.72
23.01.2015,4268.53,4292.88,4258.48,4278.14
22.01.2015,4215.00,4274.15,4173.54,4270.36
21.01.2015,4158.13,4211.28,4145.82,4192.09
20.01.2015,4164.43,4181.34,4117.15,4171.21
16.01.2015,4087.88,4143.53,4078.85,4142.14
15.01.2015,4162.11,4169.44,4085.70,4089.65
14.01.2015,4122.08,4165.00,4108.32,4145.84
13.01.2015,4212.99,4252.70,4134.94,4166.20
12.01.2015,4221.52,4223.88,4158.11,4169.97
09.01.2015,4250.98,4253.97,4188.61,4213.28
08.01.2015,4195.49,4247.93,4192.63,4240.55
07.01.2015,4139.85,4169.97,4126.39,4160.00
06.01.2015,4174.78,4176.26,4090.33,4110.83
05.01.2015,4206.55,4210.96,4151.85,4160.96
02.01.2015,4258.60,4276.72,4206.46,4230.24
31.12.2014,4294.88,4307.01,4233.71,4236.28
30.12.2014,4301.15,4309.13,4277.75,4282.35
29.12.2014,4309.70,4321.20,4306.67,4312.64
26.12.2014,4295.72,4322.45,4294.80,4314.10
24.12.2014,4283.19,4298.87,4281.80,4283.10
23.12.2014,4308.95,4309.03,4274.51,4279.30
22.12.2014,4271.87,4295.27,4270.54,4293.67
19.12.2014,4272.75,4300.40,4258.33,4281.78
18.12.2014,4230.36,4267.77,4213.21,4267.77
17.12.2014,4095.75,4175.98,4089.09,4165.10
16.12.2014,4122.23,4190.42,4089.19,4089.60
15.12.2014,4224.18,4236.06,4145.01,4157.42
12.12.2014,4207.61,4254.43,4199.29,4199.29
11.12.2014,4241.69,4296.81,4238.29,4246.48
10.12.2014,4284.50,4297.00,4218.86,4224.87
09.12.2014,4228.21,4297.73,4216.87,4294.67
08.12.2014,4301.27,4320.08,4259.01,4278.34
05.12.2014,4318.28,4324.42,4302.04,4311.57
04.12.2014,4309.48,4327.55,4293.94,4311.93
03.12.2014,4312.17,4319.02,4287.04,4312.93
02.12.2014,4291.33,4312.92,4283.89,4305.96
01.12.2014,4323.95,4332.55,4274.68,4287.81
28.11.2014,4330.96,4347.09,4326.20,4337.79
26.11.2014,4291.87,4319.41,4289.51,4317.99
25.11.2014,4290.68,4302.44,4279.90,4288.23
24.11.2014,4262.09,4285.00,4258.41,4284.32
21.11.2014,4284.41,4285.27,4237.38,4251.32
20.11.2014,4204.54,4245.17,4202.36,4242.09
19.11.2014,4233.70,4235.84,4204.16,4222.66
18.11.2014,4215.18,4248.19,4214.32,4242.19
17.11.2014,4215.29,4225.48,4194.18,4213.79
14.11.2014,4214.97,4225.18,4198.59,4224.99
13.11.2014,4202.77,4228.68,4194.33,4213.49
12.11.2014,4174.47,4199.19,4173.02,4195.40
11.11.2014,4173.61,4187.32,4165.25,4187.16
10.11.2014,4162.59,4179.98,4151.48,4175.95
07.11.2014,4170.46,4171.13,4139.46,4160.51
06.11.2014,4147.31,4165.77,4133.98,4164.08
05.11.2014,4179.23,4179.93,4140.21,4153.27
04.11.2014,4154.88,4165.05,4126.72,4156.23
03.11.2014,4160.61,4179.36,4156.79,4169.28
31.10.2014,4168.50,4170.87,4143.20,4158.21
30.10.2014,4074.26,4109.06,4064.45,4100.64
29.10.2014,4091.62,4104.07,4062.49,4090.55
28.10.2014,4063.07,4107.19,4062.21,4106.63
27.10.2014,4031.88,4052.50,4019.23,4046.02
24.10.2014,4019.84,4045.19,4003.43,4042.02
23.10.2014,3989.86,4032.22,3984.15,4012.27
22.10.2014,3980.50,3988.40,3947.98,3949.59
21.10.2014,3916.65,3971.40,3908.83,3971.39
20.10.2014,3813.60,3872.36,3804.97,3870.08
17.10.2014,3815.72,3848.98,3791.16,3815.47
16.10.2014,3706.70,3795.08,3704.83,3765.28
15.10.2014,3738.72,3801.42,3700.23,3785.97
